,序號,券商,價格,買進股數,賣出股數
159,320,1166日盛雙和,565.0,100,0
160,321,1166日盛雙和,566.0,2050,0
160,322,1166日盛雙和,569.0,1000,0
161,323,1166日盛雙和,572.0,0,1000
161,324,1167日盛嘉義,560.0,1000,0
162,325,1167日盛嘉義,561.0,1010,0
162,326,1167日盛嘉義,563.0,10,0
163,327,1167日盛嘉義,565.0,8100,0
163,328,1167日盛嘉義,566.0,0,1000
164,329,1168日盛高雄,558.0,1000,0
164,330,1168日盛高雄,560.0,90,1000
165,331,1168日盛高雄,562.0,5000,0
165,332,1168日盛高雄,563.0,110,0
166,333,1168日盛高雄,564.0,2150,4000
166,334,1168日盛高雄,565.0,100,2000
167,335,1168日盛高雄,567.0,2000,0
167,336,1169日盛士林,558.0,1000,0
168,337,1169日盛士林,560.0,2010,1200
168,338,1169日盛士林,561.0,1060,0
169,339,1169日盛士林,562.0,0,1000
169,340,1169日盛士林,563.0,100,1000
170,341,1169日盛士林,564.0,80,0
170,342,1169日盛士林,565.0,15,150
171,343,1169日盛士林,566.0,40,100
171,344,1169日盛士林,568.0,100,0
172,345,1169日盛士林,569.0,1000,0
172,346,1169日盛士林,573.0,0,1100
173,347,116A日盛木柵,559.0,1000,1000
173,348,116A日盛木柵,560.0,4000,0
174,349,116A日盛木柵,561.0,1100,0
174,350,116A日盛木柵,562.0,7000,0
175,351,116A日盛木柵,564.0,5150,0
175,352,116A日盛木柵,566.0,50,0
176,353,116A日盛木柵,568.0,2000,0
176,354,116A日盛木柵,573.0,0,1000
177,355,116b日盛園區,558.0,0,2000
177,356,116b日盛園區,559.0,1000,1000
178,357,116b日盛園區,560.0,4050,2000
178,358,116b日盛園區,561.0,2000,1000
179,359,116b日盛園區,562.0,4000,0
179,360,116b日盛園區,563.0,2204,1000
180,361,116b日盛園區,564.0,0,1000
180,362,116b日盛園區,565.0,1100,1000
181,363,116b日盛園區,566.0,2000,0
181,364,116b日盛園區,567.0,0,400
182,365,116b日盛園區,570.0,0,1000
182,366,116b日盛園區,571.0,0,20
183,367,116b日盛園區,573.0,3000,3018
183,368,116B日盛中壢,560.0,1100,0
184,369,116B日盛中壢,561.0,1000,0
184,370,116B日盛中壢,563.0,200,1000
185,371,116B日盛中壢,564.0,0,400
185,372,116B日盛中壢,565.0,50,0
186,373,116B日盛中壢,567.0,0,350
186,374,116c日盛豐原,561.0,1000,100
187,375,116c日盛豐原,563.0,1000,0
187,376,116c日盛豐原,565.0,1000,0
188,377,116C日盛八德,557.0,1000,0
188,378,116C日盛八德,560.0,2000,1000
189,379,116C日盛八德,562.0,50,0
189,380,116C日盛八德,563.0,1100,0
190,381,116C日盛八德,564.0,50,50
190,382,116C日盛八德,565.0,100,0
191,383,116C日盛八德,569.0,1000,1000
191,384,116d日盛三峽,564.0,2000,0
192,385,116d日盛三峽,565.0,10,0
192,386,116d日盛三峽,569.0,1000,0
193,387,116e日盛竹北,559.0,1000,0
193,388,116e日盛竹北,560.0,1100,0
194,389,116e日盛竹北,561.0,1000,0
194,390,116e日盛竹北,562.0,1000,0
195,391,116e日盛竹北,563.0,0,2000
195,392,116e日盛竹北,564.0,150,0
196,393,116e日盛竹北,565.0,2000,1000
196,394,116e日盛竹北,566.0,1000,0
197,395,116e日盛竹北,570.0,10,0
197,396,116E日盛三重,558.0,1000,0
198,397,116E日盛三重,560.0,100,1000
198,398,116E日盛三重,565.0,0,1000
199,399,116E日盛三重,566.0,1000,0
199,400,116E日盛三重,570.0,500,0
200,401,116E日盛三重,571.0,0,50
200,402,116f日盛復興,558.0,0,5000
201,403,116f日盛復興,560.0,0,1000
201,404,116f日盛復興,561.0,1000,0
202,405,116f日盛復興,563.0,1050,0
202,406,116f日盛復興,564.0,1000,0
203,407,116f日盛復興,565.0,1000,0
203,408,116f日盛復興,568.0,1000,0
204,409,116f日盛復興,571.0,0,470
204,410,116F日盛員林,560.0,50,0
205,411,116F日盛員林,561.0,1000,0
205,412,116F日盛員林,562.0,4000,0
206,413,116F日盛員林,563.0,11200,0
206,414,116F日盛員林,564.0,1050,2
207,415,116F日盛員林,565.0,50,0
207,416,116F日盛員林,566.0,50,0
208,417,116F日盛員林,573.0,50,4000
208,418,116g日盛龍潭,562.0,500,0
209,419,116g日盛龍潭,565.0,20,0
209,420,116G日盛景美,560.0,6050,2000
210,421,116G日盛景美,561.0,30,0
210,422,116G日盛景美,562.0,1020,2000
211,423,116G日盛景美,563.0,4020,0
211,424,116G日盛景美,564.0,1020,1000
212,425,116G日盛景美,565.0,30,0
212,426,116G日盛景美,566.0,0,1000
213,427,116G日盛景美,570.0,1000,2000
213,428,116G日盛景美,574.0,0,1000
214,429,116H日盛新竹,561.0,1000,400
214,430,116H日盛新竹,562.0,3000,0
215,431,116H日盛新竹,563.0,1100,0
215,432,116H日盛新竹,564.0,0,1000
216,433,116H日盛新竹,566.0,40,0
216,434,116H日盛新竹,567.0,1000,0
217,435,116H日盛新竹,568.0,30,0
217,436,116H日盛新竹,569.0,100,0
218,437,116H日盛新竹,570.0,0,1000
218,438,116H日盛新竹,572.0,30,1000
219,439,116i日盛樹林,560.0,10,0
219,440,116i日盛樹林,561.0,5000,1000
220,441,116i日盛樹林,562.0,2010,0
220,442,116i日盛樹林,563.0,5020,1000
221,443,116i日盛樹林,564.0,2000,1002
221,444,116i日盛樹林,565.0,10,0
222,445,116i日盛樹林,566.0,2010,2000
222,446,116i日盛樹林,567.0,1000,1100
223,447,116i日盛樹林,568.0,1000,0
223,448,116i日盛樹林,569.0,0,1000
224,449,116i日盛樹林,573.0,0,1000
224,450,116I日盛南京,560.0,1000,0
225,451,116I日盛南京,561.0,1000,0
225,452,116I日盛南京,564.0,20,0
226,453,116I日盛南京,567.0,1000,0
226,454,116j日盛頭份,559.0,1000,0
227,455,116j日盛頭份,560.0,2350,2000
227,456,116j日盛頭份,561.0,3050,1000
228,457,116j日盛頭份,562.0,3050,0
228,458,116j日盛頭份,563.0,0,100
229,459,116j日盛頭份,564.0,1000,0
229,460,116j日盛頭份,567.0,0,1000
230,461,116j日盛頭份,573.0,250,2000
230,462,116J日盛中山,558.0,0,3000
231,463,116J日盛中山,560.0,3000,0
231,464,116J日盛中山,561.0,3000,0
232,465,116J日盛中山,562.0,0,3000
232,466,116J日盛中山,563.0,3000,2000
233,467,116J日盛中山,564.0,2000,3000
233,468,116J日盛中山,565.0,0,1000
234,469,116J日盛中山,570.0,1000,0
234,470,116J日盛中山,573.0,1000,0
235,471,116k日盛北高,558.0,1000,2000
235,472,116k日盛北高,560.0,2000,0
236,473,116k日盛北高,561.0,1000,0
236,474,116k日盛北高,562.0,10000,2000
237,475,116k日盛北高,563.0,1000,2000
237,476,116k日盛北高,564.0,0,1000
238,477,116k日盛北高,565.0,1000,0
238,478,116K日盛花蓮,558.0,1000,0
239,479,116K日盛花蓮,560.0,1000,0
239,480,116K日盛花蓮,561.0,0,2000
240,481,116K日盛花蓮,562.0,1000,1000
240,482,116K日盛花蓮,564.0,0,100
241,483,116K日盛花蓮,567.0,1000,0
241,484,116L日盛大墩,558.0,0,1000
242,485,116L日盛大墩,560.0,1000,0
242,486,116L日盛大墩,561.0,1000,0
243,487,116L日盛大墩,562.0,1000,1000
243,488,116m日盛和美,558.0,1000,0
244,489,116m日盛和美,560.0,18000,2000
244,490,116m日盛和美,562.0,50,100
245,491,116m日盛和美,563.0,1050,0
245,492,116m日盛和美,564.0,205,1000
246,493,116m日盛和美,565.0,50,0
246,494,116m日盛和美,566.0,0,1000
247,495,116M日盛屏東,560.0,300,0
247,496,116M日盛屏東,563.0,30,0
248,497,116M日盛屏東,564.0,1000,0
248,498,116M日盛屏東,566.0,0,50
249,499,116M日盛屏東,567.0,0,1100
249,500,116M日盛屏東,572.0,1000,0
250,501,116M日盛屏東,573.0,1030,0
250,502,116N日盛永康,558.0,1000,1000
251,503,116N日盛永康,560.0,2010,2000
251,504,116N日盛永康,562.0,50,0
252,505,116N日盛永康,563.0,1100,100
252,506,116N日盛永康,564.0,1100,1000
253,507,116N日盛永康,565.0,0,100
253,508,116N日盛永康,568.0,0,2000
254,509,116N日盛永康,571.0,50,0
254,510,116N日盛永康,572.0,1000,0
255,511,116N日盛永康,573.0,1000,0
255,512,116P日盛信義,558.0,1000,0
256,513,116P日盛信義,559.0,2000,0
256,514,116P日盛信義,560.0,1000,0
257,515,116P日盛信義,561.0,3000,1000
257,516,116P日盛信義,562.0,2040,0
258,517,116P日盛信義,563.0,1000,0
258,518,116P日盛信義,564.0,2000,30
259,519,116P日盛信義,565.0,2100,0
259,520,116P日盛信義,566.0,1000,0
260,521,116P日盛信義,567.0,1000,2000
260,522,116Q日盛二林,560.0,1000,0
261,523,116r日盛文化,560.0,0,1000
261,524,116r日盛文化,561.0,0,1000
262,525,116r日盛文化,563.0,2150,0
262,526,116r日盛文化,564.0,20,0
263,527,116r日盛文化,565.0,0,100
263,528,116r日盛文化,566.0,1000,0
264,529,116r日盛文化,569.0,0,1000
264,530,116r日盛文化,573.0,0,12
265,531,116s日盛土城,560.0,2000,0
265,532,116s日盛土城,562.0,0,1000
266,533,116s日盛土城,567.0,0,1000
